code,name,score,net_income_positive,roa_increasing,roa_current,roa_previous,debt_ratio_decreasing,debt_ratio_current,debt_ratio_previous,shares_not_increasing,shares_current,shares_previous,operating_margin_increasing,operating_margin_current,operating_margin_previous,asset_turnover_increasing,asset_turnover_current,asset_turnover_previous,lite_score,additional_score
122640,예스티,5,True,True,5.48,-13.69,True,38.45,63.07,False,20930.0,19044.0,True,11.29,-0.5,True,0.49,0.38,5,0
123410,코리아에프티,5,True,True,8.54,7.59,True,49.13,52.75,True,27841.0,27841.0,True,6.23,5.1,False,1.53,1.58,5,0
161890,한국콜마,5,True,True,4.43,4.01,True,51.37,51.84,False,23605.0,22881.0,True,9.25,7.91,True,0.82,0.78,5,0
339950,아이비김영,5,True,True,12.46,8.36,True,46.37,47.57,True,44947.0,44947.0,True,15.41,9.4,False,1.09,1.18,5,0
240810,원익IPS,5,True,True,5.53,1.84,False,24.14,21.06,True,49084.0,49084.0,True,9.63,1.42,True,0.74,0.67,5,0
196700,웹스,5,True,True,1.69,1.48,True,47.53,49.48,True,14364.0,14364.0,True,9.09,7.18,False,0.48,0.54,5,0
123420,위메이드플레이,5,True,True,6.06,1.1,True,36.84,41.73,True,11470.0,11470.0,True,0.91,-0.33,False,0.3,0.31,5,0
208860,엔지스테크널러지,5,True,True,5.41,-19.42,True,11.68,73.14,False,30529.0,11444.0,True,16.07,-61.22,True,0.19,0.16,5,0
227840,현대코퍼레이션홀딩스,5,True,True,11.25,8.37,True,19.06,21.13,True,9101.0,9101.0,False,9.04,9.93,True,0.57,0.55,5,0
215200,메가스터디교육,5,True,True,10.61,5.72,True,42.12,46.86,True,11462.0,11694.0,True,14.3,13.12,False,0.94,1.07,5,0
185190,수프로,5,True,True,3.67,-5.83,False,53.21,52.43,True,9239.0,9239.0,True,1.44,-3.05,True,2.55,2.54,5,0
260970,에스앤디,5,True,True,18.28,11.22,False,26.88,16.49,True,2893.0,4059.0,True,17.31,14.61,True,1.25,0.83,5,0
950210,프레스티지바이오파마,5,True,True,0.56,-7.74,False,31.82,27.57,True,60096.0,60096.0,True,-471.33,-8971.43,True,0.02,0.0,5,0
356860,티엘비,5,True,True,8.01,1.91,False,42.15,40.5,True,9833.0,9833.0,True,9.86,1.89,True,1.14,0.96,5,0
208890,미래엔에듀파트너,5,True,True,8.7,-2.53,True,57.61,60.76,True,4006.0,4006.0,True,4.17,1.51,False,2.09,2.52,5,0
332370,아이디피,5,True,True,16.84,10.53,False,8.35,4.56,True,13274.0,13274.0,True,23.87,15.11,True,0.68,0.64,5,0
289010,아이스크림에듀,5,False,True,-8.02,-25.57,True,49.94,51.47,True,12864.0,12864.0,True,-1.77,-14.2,True,1.39,1.28,5,0
281820,케이씨텍,5,True,True,9.6,6.34,False,12.26,9.46,True,20862.0,20862.0,True,12.92,11.4,True,0.7,0.57,5,0
306620,네온테크,5,True,True,0.21,-2.07,True,58.32,66.46,False,43089.0,41714.0,True,3.44,2.53,True,0.73,0.53,5,0
100840,SNT에너지,5,True,True,9.08,6.7,False,42.86,40.71,True,20681.0,20681.0,True,15.24,7.54,True,0.84,0.57,5,0
451800,한화리츠,5,True,True,0.69,0.18,True,54.4,79.27,False,179600.0,72160.0,True,61.19,57.01,True,0.03,0.02,5,0
110020,전진바이오팜,5,True,True,22.75,-36.16,True,6.35,64.97,False,9059.0,7484.0,True,6.22,-7.64,True,1.02,0.89,5,0
208850,이비테크,5,True,True,10.49,6.0,False,22.84,8.67,True,2820.0,2820.0,True,14.02,9.88,True,0.66,0.54,5,0
402340,SK스퀘어,5,True,True,22.0,16.65,True,8.65,10.65,True,134750.0,138981.0,True,158.43,63.74,False,0.15,0.28,5,0
149010,아이케이세미콘,5,True,True,12.43,11.61,True,17.16,18.71,True,3120.0,3120.0,False,11.17,12.74,True,1.06,1.01,5,0
215380,우정바이오,5,True,True,0.21,-5.19,True,68.95,77.72,False,16830.0,12958.0,True,4.17,-11.66,True,0.46,0.39,5,0
112610,씨에스윈드,5,True,True,5.99,3.98,True,63.44,66.75,True,42171.0,42171.0,True,10.9,8.32,False,0.8,0.85,5,0
460850,동국씨엠,5,True,True,3.48,0.59,False,44.67,43.79,True,29899.0,29899.0,True,3.57,2.11,True,1.18,0.74,5,0
368770,파이버프로,5,True,True,14.43,7.13,False,22.65,21.38,True,32854.0,32854.0,True,21.88,13.4,True,0.66,0.48,5,0
101530,해태제과식품,5,True,True,4.54,3.17,True,58.35,60.83,True,29117.0,29117.0,True,7.8,7.31,False,0.9,0.91,5,0
222110,팬젠,5,True,True,2.95,-21.74,True,18.36,39.61,False,12898.0,10678.0,True,6.8,-57.53,True,0.48,0.35,5,0
217500,러셀,5,True,True,5.41,2.01,True,23.45,24.8,True,31812.0,31812.0,True,5.33,4.25,False,0.48,0.6,5,0
192650,드림텍,5,True,True,2.46,1.4,True,43.24,43.28,False,68890.0,68723.0,True,3.63,2.01,True,1.48,1.29,5,0
453340,현대그린푸드,5,True,True,8.48,7.8,True,28.99,29.87,True,33881.0,33881.0,True,4.62,4.26,False,2.31,2.38,5,0
214180,헥토이노베이션,5,True,True,5.96,5.03,False,52.64,52.35,True,13125.0,13257.0,True,15.33,15.31,True,0.48,0.46,5,0
101330,모베이스,5,True,True,3.36,2.0,True,58.66,60.22,True,23147.0,23147.0,True,4.09,3.19,False,1.19,1.24,5,0
413640,비아이매트릭스,5,True,True,7.6,-4.34,False,36.96,33.98,True,7207.0,7207.0,True,6.47,-10.42,True,0.63,0.62,5,0
456040,OCI,5,True,True,3.93,2.62,True,45.62,50.59,False,8953.0,7437.0,True,4.99,4.46,True,0.97,0.65,5,0
210980,SK디앤디,5,True,True,3.02,3.02,True,57.96,61.02,True,18617.0,22190.0,True,16.05,6.17,False,0.32,0.6,5,0
186230,그린플러스,5,True,True,0.3,-15.74,False,54.34,52.57,True,10820.0,10820.0,True,2.85,-13.92,True,0.86,0.61,5,0
133750,메가엠디,5,True,True,4.35,-3.78,True,24.71,26.56,True,23407.0,23407.0,True,6.03,-10.83,False,0.42,0.43,5,0
419540,비스토스,5,True,True,3.74,3.72,True,9.35,13.95,True,22993.0,22993.0,True,1.48,1.41,False,0.95,0.99,5,0
443250,레뷰코퍼레이션,5,True,True,9.1,7.8,True,39.89,43.85,False,11110.0,11105.0,True,16.75,15.34,True,0.66,0.58,5,0
446070,유니드비티플러스,5,True,True,2.72,0.41,False,17.28,12.73,True,10611.0,10611.0,True,1.59,-2.43,True,0.83,0.77,5,0
174880,장원테크,5,True,True,5.37,-2.66,False,17.49,16.71,True,4381.0,4381.0,True,7.36,-4.91,True,0.85,0.72,5,0
111770,영원무역,5,True,False,5.44,5.46,True,27.09,27.72,True,44311.0,44311.0,True,10.12,8.97,True,0.68,0.65,5,0
383800,LX홀딩스,5,True,True,9.26,8.41,False,2.02,1.87,True,76281.0,76281.0,True,81.42,80.21,True,0.12,0.1,5,0
434190,탈로스,5,True,True,3.08,-1.55,False,30.4,22.68,True,7369.0,7369.0,True,5.65,-3.96,True,0.55,0.52,5,0
363280,티와이홀딩스,5,False,True,-6.56,-25.54,True,44.25,57.97,True,50429.0,50429.0,True,-101.89,-422.36,True,0.04,0.04,5,0
114450,그린생명과학,5,True,True,3.56,-37.44,False,20.44,18.04,True,20000.0,20000.0,True,1.61,-20.54,True,0.55,0.51,5,0
330590,롯데리츠,5,True,True,0.63,0.4,False,55.83,55.43,True,288969.0,288969.0,True,64.57,64.02,True,0.03,0.03,5,0
189860,서전기전,5,True,True,1.74,-6.78,False,50.47,44.32,True,9699.0,9699.0,True,0.95,-8.08,True,1.0,0.79,5,0
326030,SK바이오팜,5,True,False,12.12,21.89,True,39.61,44.64,True,78313.0,78313.0,True,24.95,17.59,True,0.58,0.53,5,0
204620,글로벌텍스프리,5,True,True,3.61,-4.79,True,26.48,34.93,False,70283.0,64454.0,True,16.81,12.0,True,0.74,0.49,5,0
298830,슈어소프트테크,5,True,True,6.22,3.67,True,34.67,39.34,True,52619.0,52619.0,False,8.9,18.17,True,0.55,0.4,5,0
224760,엔에스컴퍼니,5,True,True,4.34,-9.25,False,46.56,41.71,True,3940.0,3940.0,True,0.7,-20.0,True,1.07,0.79,5,0
425420,티에프이,5,True,True,9.67,1.18,False,38.95,38.12,True,11381.0,11381.0,True,16.71,5.98,True,0.7,0.58,5,0
123690,한국화장품,5,True,True,8.29,7.2,True,47.5,47.94,True,16068.0,16068.0,True,3.99,3.94,False,1.6,1.62,5,0
311390,네오크레마,5,True,True,3.58,0.5,True,19.6,19.8,False,12654.0,8057.0,True,11.46,-1.74,True,0.48,0.23,5,0
175250,아이큐어,5,False,True,0.0,-19.45,True,54.33,64.12,True,37558.0,37558.0,True,-24.86,-39.96,True,0.52,0.34,5,0
336570,원텍,5,True,True,20.8,16.36,True,24.6,28.72,False,89341.0,88174.0,True,39.69,30.18,True,0.71,0.65,5,0
265560,영화테크,5,True,True,13.07,7.06,False,30.53,27.55,True,10690.0,10690.0,True,16.24,7.7,True,0.89,0.75,5,0
141000,비아트론,5,True,True,6.57,0.91,False,12.69,11.63,True,12115.0,12115.0,True,11.72,-6.07,True,0.28,0.15,5,0
296640,이노룰스,5,True,True,6.6,0.0,False,30.21,12.21,True,5178.0,5178.0,True,10.13,-7.74,True,0.5,0.45,5,0
178780,일월지엠엘,5,True,True,16.23,-17.23,True,27.49,65.01,False,17349.0,13964.0,True,10.33,-1.4,True,0.98,0.75,5,0
352940,인바이오,5,True,True,0.88,-9.5,False,38.94,38.61,True,10868.0,10868.0,True,3.92,-10.0,True,0.53,0.51,5,0
270210,에스알바이오텍,5,True,True,25.0,-37.5,True,65.62,132.5,False,1655.0,1243.0,True,6.8,-15.85,True,4.59,2.05,5,0
211270,AP위성,5,True,True,7.69,7.26,True,22.12,34.23,True,15082.0,15082.0,False,12.46,20.45,True,0.43,0.34,5,0
123700,SJM,5,True,True,7.23,6.76,True,20.27,20.95,True,15605.0,15605.0,True,7.03,6.64,False,0.71,0.79,5,0
417970,모델솔루션,5,True,True,5.86,2.94,True,26.11,27.73,True,6397.0,6397.0,True,6.18,3.4,False,0.75,0.76,5,0
375500,DL이앤씨,5,True,True,2.49,2.36,True,47.73,50.11,True,38694.0,38694.0,True,5.83,3.26,False,0.78,0.86,5,0
222420,쎄노텍,5,False,True,-2.86,-5.56,True,60.48,61.69,True,45460.0,45460.0,True,3.17,-3.54,True,0.36,0.32,5,0
448780,마이크로엔엑스,5,True,True,2.08,0.4,True,53.33,59.52,True,2678.0,2678.0,False,5.95,7.14,True,0.35,0.33,5,0
311320,지오엘리먼트,5,True,True,4.42,4.14,False,19.97,5.26,True,12615.0,12615.0,True,11.83,4.49,True,0.64,0.33,5,0
200580,메디쎄이,5,True,True,6.19,5.96,True,15.1,20.84,True,3726.0,3726.0,True,12.55,8.27,False,0.63,0.66,5,0
226400,오스테오닉,5,True,True,6.43,6.34,False,38.22,34.04,True,20662.0,20662.0,True,23.19,20.18,True,0.43,0.38,5,0
108380,대양전기공업,5,True,True,6.52,6.35,False,21.04,20.51,True,9567.0,9567.0,True,10.29,8.0,True,0.69,0.64,5,0
277810,레인보우로보틱스,5,True,True,1.5,-0.6,False,5.08,1.51,True,19400.0,19400.0,True,-15.54,-291.5,True,0.14,0.12,5,0
180640,한진칼,5,True,True,12.17,10.26,True,21.25,24.6,True,66762.0,66762.0,True,16.84,15.52,False,0.07,0.07,5,0
267270,HD현대건설기계,5,True,True,2.77,2.59,True,45.08,46.04,True,18306.0,19701.0,False,4.98,5.54,True,1.08,1.03,5,0
146060,율촌,5,True,True,2.77,-19.63,True,46.74,49.67,False,24016.0,21624.0,True,6.65,5.65,True,0.83,0.8,5,0
200670,휴메딕스,5,True,True,15.73,11.27,True,8.49,9.95,True,11230.0,11230.0,True,26.62,24.49,False,0.65,0.69,5,0
128940,한미약품,5,True,True,8.01,6.95,True,35.51,38.6,True,12811.0,12811.0,True,15.59,14.46,False,0.71,0.74,5,0
103590,일진전기,5,True,True,6.64,3.7,True,59.87,59.94,False,47685.0,38971.0,True,7.22,5.05,True,1.36,1.26,5,0
298380,에이비엘바이오,5,True,True,4.63,-23.92,True,24.13,27.89,False,48282.0,47893.0,True,9.95,-177.84,True,0.46,0.14,5,0
244920,에이플러스에셋,5,True,False,2.11,3.14,True,49.13,49.16,True,22608.0,22608.0,True,6.13,3.59,True,1.08,0.94,5,0
372170,윤성에프앤씨,5,True,True,12.33,7.08,True,34.43,53.4,True,7979.0,7979.0,True,11.76,8.47,False,0.9,0.9,5,0
254490,미래반도체,5,True,True,4.5,3.42,True,35.56,46.28,True,14438.0,14438.0,False,2.09,2.47,True,3.66,2.55,5,0
218410,RFHIC,5,True,True,5.23,4.08,False,26.21,25.89,True,26484.0,26484.0,True,16.38,1.31,True,0.33,0.24,5,0
338100,NH프라임리츠,5,True,True,9.64,6.31,True,0.27,1.78,True,18660.0,18660.0,True,95.5,47.95,False,0.1,0.13,5,0
900140,엘브이엠씨홀딩스,5,True,True,0.57,-6.35,False,36.25,35.84,True,171588.0,171588.0,True,4.23,2.84,True,0.4,0.4,5,0
228670,레이,5,True,True,1.0,-31.0,True,63.32,63.57,False,15513.0,15284.0,True,2.01,-55.51,True,0.54,0.39,5,0
130500,GH신소재,5,True,True,3.23,1.5,True,48.75,50.92,True,14545.0,14545.0,True,9.2,5.43,False,0.44,0.46,5,0
331920,셀레믹스,5,True,True,41.84,-21.55,True,7.48,12.15,True,8164.0,8164.0,True,-28.36,-87.88,False,0.23,0.36,5,0
300080,플리토,5,True,True,22.27,4.85,True,26.07,33.33,False,16505.0,15701.0,True,13.41,-1.97,True,1.24,1.23,5,0
149950,아바텍,5,True,True,5.75,3.2,False,6.14,5.19,True,15608.0,15608.0,True,6.86,2.9,True,0.55,0.5,5,0
397030,에이프릴바이오,5,True,True,20.08,-17.69,True,8.63,27.6,False,22436.0,21574.0,True,61.45,-6700.0,True,0.28,0.0,5,0
377740,바이오노트,5,True,True,3.26,-1.29,False,3.62,2.28,True,102056.0,102056.0,True,11.87,-52.16,True,0.06,0.06,5,0
126880,제이엔케이글로벌,5,True,True,24.3,1.3,True,43.26,61.02,True,23205.0,23205.0,True,2.6,2.46,False,0.37,0.57,5,0
158430,아톤,5,True,True,7.92,7.03,True,35.28,42.62,False,23274.0,22577.0,True,22.02,20.73,True,0.47,0.38,5,0
208640,썸에이지,5,False,True,-27.49,-31.88,True,9.96,33.42,True,139240.0,139240.0,True,-72.86,-110.34,True,0.56,0.3,5,0
214450,파마리서치,5,True,True,17.23,10.39,True,30.21,33.46,False,10510.0,10320.0,True,40.6,36.02,True,0.53,0.41,5,0
199150,데이터스트림즈,5,True,True,3.64,-37.4,True,89.7,116.79,True,4269.0,4269.0,True,2.26,-19.22,False,1.61,1.95,5,0
361610,SK아이이테크놀로지,5,False,True,-2.66,-5.94,True,42.19,43.99,True,71298.0,71298.0,True,-69.76,-133.55,True,0.07,0.05,5,0
128540,에코캡,5,True,True,10.62,1.32,True,43.04,43.32,True,26690.0,26690.0,True,14.15,2.94,False,0.72,0.86,5,0
267250,HD현대,5,True,True,4.54,2.61,True,61.24,64.28,True,78993.0,78993.0,True,7.9,4.4,False,0.91,0.92,5,0
176750,듀켐바이오,5,True,True,20.15,12.27,True,24.65,34.05,False,28455.0,27025.0,True,31.6,14.33,True,0.69,0.55,5,0
267850,아시아나IDT,5,True,True,5.37,4.94,True,23.28,26.0,True,11100.0,11100.0,False,4.74,4.83,True,0.88,0.85,5,0
214430,아이쓰리시스템,5,True,True,10.22,9.6,True,28.0,31.55,True,7107.0,7107.0,True,12.26,10.04,False,0.82,0.93,5,0
215090,솔디펜스,5,True,True,22.87,-38.5,True,14.97,38.24,False,19930.0,16059.0,True,13.76,-14.72,True,0.45,0.44,5,0
134060,이퓨쳐,5,True,True,8.76,5.34,True,16.06,17.56,True,4769.0,4769.0,False,6.36,9.52,True,0.4,0.4,5,0
137310,에스디바이오센서,5,False,True,-2.52,-12.35,True,24.59,25.27,True,124477.0,124477.0,True,-7.79,-37.84,True,0.18,0.17,5,0
268280,미원에스씨,5,True,True,10.66,4.03,False,20.66,19.1,True,5000.0,5000.0,True,11.55,5.14,True,0.99,0.95,5,0
900110,이스트아시아홀딩스,5,True,True,1.51,1.07,True,5.5,6.2,False,21706.0,17277.0,True,10.93,9.12,True,0.22,0.21,5,0
303360,프로티아,5,True,True,8.6,1.99,True,6.09,6.37,False,12877.0,12875.0,True,14.29,2.44,True,0.38,0.33,5,0
